Time,Speed,Location,County,State,Lat,Lon,Comments
0038,UNK,MARTHASVILLE,WARREN,MO,38.63,-91.05,TREES DOWN (LSX)
0050,UNK,5 S NEW MELLE,ST. CHARLES,MO,38.64,-90.88,TREES BLOWN DOWN....CAR DAMAGED DUE TO TREE FALLING ON IT AT THE DANIEL BOONE HOME (LSX)
0050,UNK,HARVESTER,ST. CHARLES,MO,38.75,-90.58,MANY 8 INCH PLUS LIMBS DOWN...GARAGE DOOR BLOWN IN...POWER LINES DOWN OVER CAULKS HILL RD (LSX)
0050,59,FREDA,HOUGHTON,MI,47.13,-88.82,(MQT)
0058,80,CEDAR VALE,CHAUTAUQUA,KS,37.11,-96.5,WIND DAMAGE TO STRUCTURES HAS BEEN REPORTED. (ICT)
0058,62,3 W CHESTERFIELD,ST. LOUIS,MO,38.66,-90.63,(LSX)
0100,UNK,5 W MELROSE,CHEROKEE,KS,37.03,-95.05,TREE LIMBS OF 12 INCHES SNAPPED (SGF)
0100,UNK,HARVESTER,ST. CHARLES,MO,38.75,-90.58,TREES BLOWN DOWN ALONG WITH SHINGLES AND SIDING (LSX)
0101,62,TINKER AIR FORCE BASE,OKLAHOMA,OK,35.42,-97.39,(OUN)
0105,UNK,HARVESTER,ST. CHARLES,MO,38.75,-90.58,6 INCH DIAMETER TREE LIMBS BLOWN DOWN (LSX)
0108,UNK,HARVESTER,ST. CHARLES,MO,38.75,-90.58,LARGE TREE LIMBS BLOWN DOWN (LSX)
0108,UNK,3 SW ST. CHARLES,ST. CHARLES,MO,38.76,-90.56,ON UPPER BOTTOM COURT OFF UPPER BOTTOM DRIVE NEAR THE 364 BRIDGE SW OF ST. CHARLES...THERE WERE LARGE TREE LIMBS DOWN WITH ONE LIMB DAMAGING A CAR PORT. (LSX)
0108,58,1 SW MCLAIN STATE PARK,HOUGHTON,MI,47.22,-88.63,(MQT)
0110,65,CHESTERFIELD,ST. LOUIS,MO,38.65,-90.58,(LSX)
0110,UNK,ST. CHARLES,ST. CHARLES,MO,38.79,-90.52,TREE LIMBS BROKEN AND BLOWN DOWN...DAMAGE TO GARAGE DOOR AND SIDING (LSX)
0114,87,TINKER AIR FORCE BASE,OKLAHOMA,OK,35.42,-97.39,(OUN)
0114,UNK,OVERLAND,ST. LOUIS,MO,38.7,-90.37,34 INCH TREE DOWN (LSX)
0114,UNK,ST. ANN,ST. LOUIS,MO,38.73,-90.39,LARGE TREE LIMBS 8 TO 10 INCHES IN DIAMETER SNAPPED OUT OF TREES...NEAR ST CHARLES ROCK ROAD AND GERALDINE (LSX)
0115,UNK,ST. ANN,ST. LOUIS,MO,38.73,-90.39,NUMEROUS 8-10 INCH DIAMETER TREE LIMBS BLOWN DOWN...ALONG WITH A 70 FOOT TALL OAK TREE UPROOTED. (LSX)
0115,UNK,BRIDGETON,ST. LOUIS,MO,38.77,-90.43,18 WHEELER REPORTED TO BE ON ITS SIDE...AT ST CHARLES ROCK ROAD AND HWY 270. TIME ESTIMATED FROM RADAR. (LSX)
0117,UNK,BRIDGETON,ST. LOUIS,MO,38.77,-90.43,POWER LINES DOWNED AT 170 AND AIRPORT ROAD (LSX)
0120,60,FLORISSANT,ST. LOUIS,MO,38.8,-90.32,PEA-SIZED HAIL AND 45-60 MPH WINDS. (LSX)
0120,UNK,FLORISSANT,ST. LOUIS,MO,38.8,-90.32,NUMEROUS 8 TO 10 INCH DIAMETER TREE LIMBS DOWN...POWER LINES DOWN...NEAR CHAMBERS AND ELIZABETH ROADS (LSX)
0123,UNK,FERGUSON,ST. LOUIS,MO,38.75,-90.3,3 INCH DIAMETER TREE LIMBS DOWN (LSX)
0124,66,3 SSE NORMAN,CLEVELAND,OK,35.18,-97.42,MEASURED AT NWS FORECAST OFFICE (OUN)
0130,UNK,PIERCETON,KOSCIUSKO,IN,41.2,-85.71,TREE BRANCH DOWN ACROSS THE ROAD APPROX. 20 FT. IN LENGTH....6 TO 8 INCHES IN DIAMETER...ACROSS 350 S NEAR SR 13. TIME ESTIMATED FROM RADAR. (IWX)
0131,58,WILEY POST AIRPORT,OKLAHOMA,OK,35.53,-97.65,(OUN)
0135,UNK,FLORISSANT,ST. LOUIS,MO,38.8,-90.32,12-15 INCH DIAMETER TREE LIMBS BLOWN DOWN (LSX)
0138,58,1 NNW BETHALTO,MADISON,IL,38.91,-90.05,(LSX)
0140,60,3 NNW BUXTON,WILSON,KS,37.48,-95.94,PEA SIZED HAIL ALSO REPORTED. (ICT)
0140,UNK,2 NW EDWARDSVILLE,MADISON,IL,38.81,-89.98,ONE HOME WAS SEVERELY DAMAGED 1.5 MILES NORTHWEST OF EDWARDSVILLE. SEVERAL TREES ARE DOWN IN THE AREA. (LSX)
0150,UNK,ALHAMBRA,MADISON,IL,38.89,-89.73,REPORTS OF TREES AND FENCES DOWN IN ALHAMBRA. TIME ESTIMATED FROM RADAR. (LSX)
0150,UNK,GILLESPIE,MACOUPIN,IL,39.13,-89.82,POWER LINES BLOWN DOWN ALONG WITH A WINDOW BLOWN OUT (LSX)
0155,60,NEWCASTLE,MCCLAIN,OK,35.25,-97.6,(OUN)
0204,UNK,5 S FARMERSVILLE,MONTGOMERY,IL,39.37,-89.65,MONTGOMERY COUNTY SHERIFF REPORTED THREE TRACTOR TRAILERS BLOWN OVER ON INTERSTATE 55 - THERE IS STRUCTURAL DAMAGE OVER THIS AREA. (LSX)
0207,70,KINCAID,CHRISTIAN,IL,39.59,-89.41,(ILX)
0210,62,3 NNW SHAWNEE,POTTAWATOMIE,OK,35.38,-96.94,(OUN)
0215,UNK,MITCHELL,MADISON,IL,38.77,-90.08,TREE UPROOTED AND BLOCKING THE CALLER IN HER HOUSE. SHE WAS OKAY WITH FRIENDS ARRIVING TO HELP REMOVE THE TREE. (LSX)
0230,UNK,1 N VANDALIA,FAYETTE,IL,39,-89.1,TREE LIMB BLOWN DOWN 1 MILE NORTH OF VANDALIA ON ROUTE 51 (LSX)
0303,60,BETHANY,MOULTRIE,IL,39.64,-88.74,(ILX)
0303,58,DECATUR,MACON,IL,39.85,-88.93,(ILX)
0318,60,2 NE CISCO,PIATT,IL,40.03,-88.7,(ILX)
